,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
102,https://nuforc.org//sighting/?id=179496,11/26/2023 21:15,Thedford,NE,USA,Circle,3 lighted objects circling at high altitude that were both bright and dim,,,
103,https://nuforc.org//sighting/?id=179540,11/25/2023 13:22,Brinnon,WA,USA,Disk,"Taking picture of dog, raising camera to zoom object low high speed pass pushed shutter repeatedly got one image and was gone. Silent",,Y,
104,https://nuforc.org//sighting/?id=179497,11/24/2023 20:15,Dothan,AL,USA,Rectangle,"Blue rectangle appears above the trees, about 30' high, above us, and then shoots off to the West.",,,
105,https://nuforc.org//sighting/?id=179475,11/21/2023 20:30,Stillwater,OK,USA,Light,As many as 4 lights were simultaneously observed corroborated with no less than 6-7 other aircraft on Denver Center,,Y,
106,https://nuforc.org//sighting/?id=179468,11/21/2023 19:00,Oklahoma City,OK,USA,Light,Points of light maneuvering in upper atmosphere,,Y,
107,https://nuforc.org//sighting/?id=183036,11/21/2023 14:30,Eugene,OR,USA,Light,I watched a Jet chase a Bright white light across the sky. Almost directly over the Eugene airport sky.,,,
108,https://nuforc.org//sighting/?id=179444,11/20/2023 17:15,Halfway,MD,USA,Light,At 1st glance lights (4) appeared slightly higher than street lamps but change into just 2 larger bright lights that tilted & vanished,,,
109,https://nuforc.org//sighting/?id=179427,11/18/2023 12:15,Oro Valley,AZ,USA,Sphere,Metallic UAP or Balloon,,Y,
110,https://nuforc.org//sighting/?id=179578,11/17/2023 12:58,Lincolnshire,IL,USA,Other,"Craft was total stationary and totally silent,just above a tree.",,Y,
111,https://nuforc.org//sighting/?id=179406,11/16/2023 12:45,Boyce,VA,USA,Disk,Object was above arboretum. Moving rapidly sideways and up and down then hovering,,,
112,https://nuforc.org//sighting/?id=179568,11/15/2023 21:00,Lincolnshire,IL,USA,Rectangle,"Platform type craft traveling low over forest with lights illuminating the top but no lights on bottom, at night.",,Y,
