href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
https://nuforc.org//sighting/?id=139369 ,03/17/2010 11:32,Plano,IL,USA,Disk,Daytime flying saucer that was in between its cloaking phase,,Y,
https://nuforc.org//sighting/?id=143381 ,10/04/2018 21:30,SE Arizona (I-10 EB),AZ,USA,Disk,Translucent saucer shaped object with bright Peridot green almost hypnotic bright lights on both ends,,,
https://nuforc.org//sighting/?id=143562 ,10/23/2018 06:05,Winston-Salem,NC,USA,Triangle,At 6 am today (10-23-2018) to have a cigarette and a minute or two later directly above me was a object 100ft wide 50ft length.,,Y,
https://nuforc.org//sighting/?id=143949 ,11/30/2018 22:30,Seven Devils,NC,USA,Rectangle,"Football field sized rectangle, black, near Boone N.C. that disappeared at a high rate of speed.",,Y,
https://nuforc.org//sighting/?id=144281 ,01/03/2019 17:20,Easthampton,MA,USA,Diamond,Bright white lights of a diamond shaped craft seen above Connecticut river on Easthampton/Northampton line (rt. 5).,,Y,
https://nuforc.org//sighting/?id=144954 ,07/01/1993 12:00,Lexington,KY,USA,Teardrop,"Craft in Lexington, teardrop shaped, near University of Kentucky, appearing to children.",,Y,
https://nuforc.org//sighting/?id=148793 ,07/15/2019 20:25,Piqua,OH,USA,Rectangle,"An opening (hole, portal) in the fabric of space.  ((NUFORC Note:  See excellent illustration by witness on NUFORC homepage.  PD))",,Y,
https://nuforc.org//sighting/?id=151509 ,11/20/2019 23:17,,,Unspecified,Sphere,Bright object resembling star or satellite in night sky traveling at tremendous speed does figure 8 above our cruise ship in night sky.,,,
https://nuforc.org//sighting/?id=151616 ,10/31/2019 18:00,Saint Paul,MN,USA,Rectangle,Detailed sighting of a black rectangular craft with circles on the bottom.  Seen traveling then vanished!,,Y,
https://nuforc.org//sighting/?id=160151 ,01/15/2020 02:00,Los Angeles,CA,USA,Sphere,I awoke to find an udulating beach ball sized black sphere hovering in my kitchen.,,Y,
https://nuforc.org//sighting/?id=162304 ,02/28/2021 08:20,Kennewick,WA,USA,Triangle,Huge black triangle with 3-4 lights on the sides floating above my house.,,Y,
https://nuforc.org//sighting/?id=162710 ,09/15/1979 20:00,Selden,NY,USA,Cigar,Glowing cigar craft hovering over Middle Country Rd,,,
https://nuforc.org//sighting/?id=163175 ,,,,Unspecified,,UFO contact we made during Desert Shield in the Indian Ocean.,,,
,Occurred,City,State,Country,Shape,Summary,,Media,Explanation
